id;street_1;street_2;unit;zip_code;phone_number;longitude;latitude
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;26945-8895;Cambridgeshire end-to-end;51509;42173
2;Buckinghamshire;Account;purple Credit Developer;51416;generate Ports China;82983;56707
3;solution policy Grove;Bike Timor-Leste grow;Account;05022-6087;National initiative Loan;84998;72092
4;Shoes;HTTP grow USB;Dinar;86427;override projection Taka;85323;97939
5;state Savings;invoice;Administrator Borders Greece;93776-6787;calculate;27124;66993
6;Supervisor;disintermediate Architect Gloves;Rubber Orchestrator;28622-0751;Pizza;23570;35253
7;Identity Savings;alarm;COM;23058;primary;36609;95395
8;Haven Plastic;invoice Steel CSS;Extended copying optimize;99093;Rustic withdrawal Anguilla;64803;4652
9;navigate Beauty Court;mint Ramp;Chicken killer cyan;41223;infomediaries Sausages;42652;99350
10;Arizona;help-desk Jewelery;up Kids;09787-5278;Fresh;66033;55932
